Ticker,Price,Number of Shares to Buy,One Year Price Return,One Year Return Percentile,Six Month Price Return,Six Month Return Percentile,Three Month Price Return,Three Month Return Percentile,One Month Price Return,One Month Return Percentile,HQM Score
AES,24.1,829,0.22910479299065373,0.6851485148514851,0.6598556374245442,0.9465346534653466,0.3365087019039655,0.8158415841584159,0.14293823982276438,0.9504950495049505,0.8495049504950495
NTAP,67.15,297,0.11392311887738604,0.5346534653465347,0.561694040557045,0.906930693069307,0.5799541529889808,0.9603960396039604,0.231838113116482,0.994059405940594,0.849009900990099
TTWO,207.87,96,0.720546502589089,0.9544554455445545,0.4578321031707094,0.805940594059406,0.25325149519884127,0.6673267326732674,0.1581557447213977,0.9643564356435644,0.8480198019801981
IDXX,514.66,38,0.9284432449729622,0.9801980198019803,0.4960412518154315,0.8514851485148515,0.27864558116332805,0.7306930693069308,0.07137606695748629,0.794059405940594,0.8391089108910892
PWR,72.56,275,0.8072835930451759,0.9702970297029703,0.8956334735671483,0.9801980198019803,0.36205063670224785,0.8336633663366336,0.03158387769096285,0.5722772277227722,0.8391089108910891
ZBRA,393.35,50,0.5110384774316951,0.9207920792079207,0.5555765436189521,0.9029702970297029,0.49789212837366037,0.9405940594059407,0.03284658400096953,0.5861386138613862,0.8376237623762376
IPGP,229.49,87,0.5450366155744901,0.9287128712871286,0.44425599919988507,0.794059405940594,0.30663078422591533,0.7782178217821781,0.0771002230776258,0.805940594059406,0.8267326732673267
DE,269.46,74,0.5992409932043191,0.9405940594059407,0.754271281889665,0.9663366336633663,0.23870814800885767,0.6415841584158416,0.05892603034280126,0.7247524752475247,0.8183168316831684
ANET,303.8,65,0.4296719611971341,0.8792079207920793,0.389408548850388,0.7287128712871287,0.4233066284629091,0.8930693069306931,0.0667167854411383,0.7663366336633664,0.8168316831683169
MXIM,90.03,222,0.4964624617823675,0.9168316831683169,0.50526517366689,0.8673267326732673,0.2932193867880935,0.7544554455445546,0.0543501114617553,0.7029702970297029,0.8103960396039604
FRC,152.15,131,0.26887325412638463,0.7445544554455445,0.4089130741088448,0.7504950495049505,0.3385674745638479,0.8198019801980198,0.1209160105818813,0.9267326732673267,0.8103960396039603
HPQ,24.77,807,0.24017456900591275,0.6990099009900991,0.4601927514635018,0.8099009900990098,0.318863906098346,0.7960396039603961,0.11255502628075147,0.9128712871287129,0.8044554455445545
EXPE,138.9,143,0.2323238049128472,0.6891089108910892,0.571958041876959,0.9128712871287129,0.4518840233739571,0.9207920792079207,0.04897675903798268,0.6811881188118812,0.800990099009901
CPRT,132.75,150,0.418419467917493,0.8752475247524752,0.5277739986262282,0.8772277227722772,0.1885435515509457,0.5485148514851486,0.10857126383322079,0.900990099009901,0.8004950495049505
HWM,28.61,699,-0.0743232565901234,0.2594059405940594,0.893184566590471,0.9782178217821782,0.6641044040806534,0.9742574257425742,0.20461745034590081,0.9841584158415841,0.799009900990099
NLSN,21.0,952,0.0451746414213334,0.4435643564356435,0.4571390407020954,0.8039603960396039,0.4794373896401544,0.9306930693069307,0.2956846504365666,1.0,0.7945544554455446
ABMD,327.4,61,0.9258262843698315,0.9782178217821782,0.2787698496297952,0.5584158415841585,0.24553515420534489,0.6554455445544555,0.21586338252945908,0.9861386138613861,0.7945544554455446
HCA,166.8,119,0.12290814997594117,0.5465346534653466,0.7068681676369688,0.9584158415841584,0.3278492816133116,0.807920792079208,0.08679996899795371,0.8475247524752476,0.7900990099009901
AVGO,450.18,44,0.45292769143550077,0.8930693069306931,0.4383023421948367,0.7881188118811882,0.2075603634842614,0.6059405940594059,0.09551374738564469,0.8712871287128714,0.7896039603960396
ADSK,310.32,64,0.697408423295372,0.9485148514851486,0.2763715748527647,0.5445544554455446,0.3052247026845308,0.7702970297029702,0.09644240297971762,0.8752475247524752,0.7846534653465347
SCHW,54.82,364,0.1370975577198711,0.5742574257425743,0.6302573333532315,0.9366336633663366,0.41747862031483396,0.8891089108910891,0.06056671149964962,0.7326732673267327,0.7831683168316832
PVH,97.74,204,-0.11081742414578374,0.22376237623762374,1.0210913597982505,0.9920792079207921,0.5572569930948422,0.9564356435643565,0.1483252927333915,0.9584158415841584,0.7826732673267327
AMAT,90.1,221,0.43843219407952366,0.8831683168316832,0.4606734815761172,0.8118811881188118,0.4441938673032448,0.9128712871287129,0.02483314264067341,0.5207920792079208,0.7821782178217822
SNPS,269.45,74,0.887820111626717,0.9742574257425742,0.3190461474295618,0.6178217821782178,0.2037155517501952,0.6,0.1306258833243002,0.9346534653465346,0.7816831683168317
LRCX,479.82,41,0.6616452814101791,0.9425742574257425,0.513013099993996,0.8712871287128714,0.4076552819991775,0.8851485148514852,0.01277854743017821,0.42574257425742573,0.7811881188118812
MGM,31.7,630,-0.04615681305115973,0.30297029702970296,0.9069305138668856,0.9841584158415841,0.45203504972381203,0.9227722772277228,0.09739985133669746,0.8792079207920793,0.7722772277227723
MHK,141.51,141,0.03426329027364129,0.42772277227722777,0.46714285251346427,0.8178217821782178,0.4522362503386002,0.9247524752475248,0.11623886780743066,0.9188118811881187,0.7722772277227723
AAPL,133.78,149,0.8525346544732835,0.9722772277227724,0.47036411276420653,0.8217821782178218,0.14261899932008304,0.45742574257425744,0.08492844217949257,0.8356435643564356,0.7717821782178218
GS,273.46,73,0.178517775824547,0.6297029702970297,0.35360324925880604,0.6851485148514851,0.3486758902736594,0.8257425742574257,0.13689538795395473,0.9465346534653466,0.7717821782178218
IVZ,18.15,1101,0.03126668246873821,0.41980198019801984,0.7723493785525003,0.9702970297029703,0.577617477093427,0.9584158415841584,0.0611155584508779,0.7386138613861387,0.7717821782178218
QCOM,158.53,126,0.7991673282285036,0.9683168316831683,0.7212583335634117,0.9603960396039604,0.2838620352252191,0.7386138613861387,0.011788041821995545,0.4158415841584159,0.7707920792079208
KEYS,132.8,150,0.28791620042050564,0.7702970297029702,0.32513608877198763,0.6257425742574257,0.3654057954501782,0.8396039603960397,0.08668276812664413,0.8455445544554455,0.7702970297029703
QRVO,168.21,118,0.4430288434508586,0.8851485148514852,0.5509815741393421,0.900990099009901,0.23614266164360548,0.6376237623762376,0.04170197014931171,0.6435643564356436,0.7668316831683168
MSCI,452.36,44,0.774555036035633,0.9623762376237623,0.3165318181656809,0.6158415841584158,0.25257916042671585,0.6653465346534654,0.08105192876159108,0.8198019801980198,0.7658415841584159
KSS,42.43,471,-0.17949193644666872,0.13861386138613863,1.0503843256984677,0.994059405940594,1.1199131796165287,0.998019801980198,0.11797795938145753,0.9227722772277228,0.7633663366336634
