ticker,stock_price,num_of_shares_to_buy,PE_ratio,PB_ratio,PS_ratio,EV/EBITDA,EV/GP,PE_ratio_percentile,PB_ratio_percentile,PS_ratio_percentile,EV/EBITDA_percentile,EV/GP_percentile,RV_score
RMD,226.3,88,48.34,12.14,10.7,34.93408971872628,17.309458598006053,0.7620192307692308,0.8173076923076923,0.8942307692307692,0.8846153846153847,0.8846153846153847,0.8485576923076923
SNPS,269.88,74,61.38,8.19,10.76,54.68791871144263,13.242747665684679,0.8629807692307692,0.75,0.8966346153846153,0.951923076923077,0.7716346153846153,0.8466346153846154
ALGN,571.04,35,26.35,14.99,20.08,106.26567110292908,27.05141143950195,0.4182692307692308,0.8557692307692308,0.9759615384615384,0.9927884615384616,0.9735576923076923,0.8432692307692309
MNST,98.459,203,43.01,10.76,11.34,30.3892643302126,17.901931411146894,0.7403846153846153,0.7932692307692308,0.9110576923076923,0.858173076923077,0.8966346153846153,0.8399038461538462
MXIM,94.43,211,38.65,15.24,11.29,31.96575376601975,16.21178135573198,0.6899038461538461,0.8653846153846153,0.9086538461538461,0.8677884615384616,0.8653846153846153,0.8394230769230768
CPRT,128.521,155,43.92,10.88,13.27,29.811684862416822,14.098100124533746,0.75,0.798076923076923,0.9375,0.8557692307692308,0.8149038461538461,0.83125
ROST,125.27,159,149.74,14.83,3.53,54.0712471029626,14.791189436299165,0.96875,0.8533653846153847,0.532451923076923,0.9471153846153847,0.829326923076923,0.826201923076923
MSFT,224.85,88,35.94,13.93,11.24,28.994101525132077,15.687754013783634,0.6514423076923077,0.8461538461538461,0.9038461538461539,0.8485576923076923,0.8557692307692308,0.8211538461538461
EL,267.28,74,160.35,21.65,6.9,35.87212513551171,9.047367175036293,0.9759615384615384,0.9098557692307692,0.7536057692307692,0.889423076923077,0.5649038461538461,0.81875
BKNG,2335.03,8,68.57,19.57,10.58,40.89066487213053,8.284383267615672,0.8822115384615384,0.8966346153846153,0.8846153846153847,0.9182692307692308,0.5072115384615384,0.8177884615384615
COO,378.26,52,78.8,5.33,8.22,47.996939606968276,14.222735442598754,0.9038461538461539,0.59375,0.8149038461538461,0.9375,0.8197115384615384,0.8139423076923077
AMZN,3317.29,6,96.67,19.9,4.62,50.67144731552832,11.128407884467418,0.9302884615384616,0.8990384615384616,0.6057692307692308,0.9423076923076923,0.6899038461538461,0.8134615384615385
TXN,176.46,113,33.45,19.24,11.67,23.881942690877317,17.800221378852083,0.6033653846153846,0.891826923076923,0.9158653846153847,0.7596153846153847,0.8942307692307692,0.8129807692307691
CRM,222.82,89,58.99,5.16,10.16,126.05121934356785,12.997983815500138,0.84375,0.5745192307692308,0.8725961538461539,0.9975961538461539,0.7692307692307692,0.8115384615384615
BF.B,80.53,248,41.69,15.2,8.55,33.30670356445215,12.92570064754186,0.7163461538461539,0.8629807692307692,0.826923076923077,0.8774038461538461,0.7620192307692308,0.8091346153846153
